cycle_id,species,season,management_quality,fault_injected,fault_type,harvest_weight_g,harvest_survival,total_stress_hours,final_do_surface,final_tan_mgl,final_ph
0,Penaeus_monodon,winter,excellent,False,none,21.31,1.0,0.0,4.35,0.507,7.97
1,Litopenaeus_vannamei,summer,poor,False,none,21.31,1.0,0.0,4.08,0.526,7.97
2,Litopenaeus_vannamei,summer,excellent,False,none,21.31,1.0,0.0,3.85,0.515,7.97
3,Litopenaeus_vannamei,monsoon,poor,False,none,21.31,1.0,0.0,4.43,0.538,7.97
4,Litopenaeus_vannamei,northeast,excellent,False,none,21.31,1.0,0.0,4.44,0.512,7.97
5,Penaeus_monodon,northeast,excellent,False,none,21.31,1.0,0.0,4.54,0.503,7.97
6,Litopenaeus_vannamei,winter,poor,False,none,21.31,1.0,0.0,3.87,0.546,7.97
7,Penaeus_monodon,monsoon,very_poor,False,none,21.31,1.0,0.0,4.64,0.511,7.97
8,Litopenaeus_vannamei,northeast,very_poor,False,none,21.31,1.0,0.0,4.08,0.559,7.97
9,Penaeus_monodon,northeast,poor,True,stratification_collapse,21.31,1.0,0.0,4.28,0.52,7.97
10,Litopenaeus_vannamei,winter,very_poor,False,none,21.31,1.0,0.0,3.66,0.551,7.97
11,Penaeus_monodon,winter,very_poor,False,none,21.31,1.0,0.0,4.5,0.522,7.97
12,Penaeus_monodon,northeast,poor,True,stratification_collapse,21.31,1.0,0.0,4.63,0.51,7.97
13,Penaeus_monodon,northeast,good,False,none,21.31,1.0,0.0,4.18,0.506,7.97
14,Litopenaeus_vannamei,monsoon,poor,False,none,21.31,1.0,0.0,4.67,0.542,7.97
15,Litopenaeus_vannamei,summer,excellent,False,none,21.31,1.0,0.0,4.37,0.532,7.97
16,Penaeus_monodon,winter,very_poor,True,stratification_collapse,21.31,1.0,0.0,4.05,0.537,7.97
17,Penaeus_monodon,northeast,poor,False,none,21.31,1.0,0.0,4.15,0.51,7.97
18,Litopenaeus_vannamei,summer,very_poor,False,none,21.31,1.0,0.0,3.92,0.545,7.97
19,Litopenaeus_vannamei,summer,good,False,none,21.31,1.0,0.0,4.04,0.514,7.97
20,Litopenaeus_vannamei,northeast,excellent,False,none,21.31,1.0,0.0,4.22,0.521,7.97
21,Litopenaeus_vannamei,winter,very_poor,False,none,21.31,1.0,0.0,3.9,0.578,7.97
22,Litopenaeus_vannamei,monsoon,excellent,False,none,21.31,1.0,0.0,4.68,0.518,7.97
23,Penaeus_monodon,summer,excellent,False,none,21.31,1.0,0.0,4.25,0.503,7.97
24,Penaeus_monodon,monsoon,good,False,none,21.31,1.0,0.0,4.49,0.503,7.97
25,Penaeus_monodon,summer,good,True,stratification_collapse,21.31,1.0,0.0,3.83,0.511,7.97
26,Litopenaeus_vannamei,monsoon,very_poor,False,none,21.31,1.0,0.0,4.48,0.538,7.97
27,Penaeus_monodon,northeast,poor,False,none,21.31,1.0,0.0,4.63,0.507,7.97
28,Litopenaeus_vannamei,monsoon,good,False,none,21.31,1.0,0.0,4.4,0.51,7.97
29,Litopenaeus_vannamei,northeast,poor,False,none,21.31,1.0,0.0,4.64,0.516,7.97
30,Penaeus_monodon,summer,good,True,stratification_collapse,21.31,1.0,0.0,3.91,0.503,7.97
31,Litopenaeus_vannamei,winter,excellent,False,none,21.31,1.0,0.0,4.36,0.53,7.97
32,Litopenaeus_vannamei,monsoon,good,False,none,21.31,1.0,0.0,4.56,0.519,7.97
33,Litopenaeus_vannamei,monsoon,poor,True,stratification_collapse,21.31,1.0,0.0,4.65,0.538,7.97
34,Penaeus_monodon,summer,good,False,none,21.31,1.0,0.0,4.09,0.511,7.97
35,Penaeus_monodon,monsoon,poor,False,none,21.31,1.0,0.0,4.68,0.51,7.97
