filepath,gill_discolouration,lesions,red_spots,ulcers,black_gills,white_spots,lethargy
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (37).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (61).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (110).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (57).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (95).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (45).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (34).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (58).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (92).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (5).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (94).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (2).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (111).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (115).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (23).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (100).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (116).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (77).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (108).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (44).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (39).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (22).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (1).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (53).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (90).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (107).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (50).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (64).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (78).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (93).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (43).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (72).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (96).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (47).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (69).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (38).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (75).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (101).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (104).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (105).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (14).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (59).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (11).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (70).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (82).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (28).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (20).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (9).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (97).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (60).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (83).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (63).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (18).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (91).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (21).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (7).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (109).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (8).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (117).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (51).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (66).jpg,0,0,0,0,1,1,1
