feature,mean_abs_shap
stress_hours_lt3_24h,0.4606286217308762
stress_hours_lt3_7d,0.25263054060728
do_mg_l,0.19627469385441546
do_amplitude,0.17146537093157416
night_do_min_3d_trend,0.04951900813517033
salinity_ppt,0.02373430917721776
species,0.020426958360182115
doc,0.01705967417022855
tan_mg_l,0.015038669827565286
wind_mean_24h,0.012887160577821006
feed_kg_7d_cum,0.012409974814436252
management_quality,0.012383877518172472
alkalinity_mg_l,0.010290186263862055
biomass_est_kg,0.008799705775791873
nh3_un_ionised,0.00779531533858451
fcr_running,0.007138434887059747
solar_rad_24h,0.00701394505090272
alkalinity_trend_7d,0.006426247402193482
water_temp_c,0.005059134283822826
tan_slope_3d,0.004815613098487569
ph,0.0010254367571000806
data_health_score,0.00036621431058103784
rain_48h_mm,0.00024992478528766676
aerator_on,0.0
