feature,mean_abs_shap
stress_hours_lt3_7d,0.790201523824517
species,0.41143081046468244
doc,0.4077984598534251
night_do_min,0.35289751021481264
biomass_est_kg,0.3365097696030182
salinity_ppt,0.2736815150025719
feed_kg_7d_cum,0.24334195089132155
fcr_running,0.17792902009841152
no3_mg_l,0.14135314665571613
do_mg_l,0.13571923945972944
do_amplitude,0.11430967219165881
management_quality,0.08813963001158658
stress_hours_lt3_24h,0.0543658501199068
tan_slope_3d,0.05302849359289949
alkalinity_mg_l,0.051684505008086565
water_temp_c,0.03786051120750609
no2_mg_l,0.03161501981311443
wind_mean_24h,0.029154947239045513
night_do_min_3d_trend,0.029052846832224796
nh3_un_ionised,0.028077000753672095
secchi_cm,0.020919427649050477
ph,0.020320938864862303
rain_48h_mm,0.01951728056949814
tan_mg_l,0.01932257200222786
alkalinity_trend_7d,0.018267898885290602
solar_rad_24h,0.01657828842606577
data_health_score,0.001865875170390832
