feature,mean_abs_shap
avg_weight_g,3.5103638328243676
doc,0.6555585533592673
species,0.24972099583149077
wind_mean_24h,0.1937939767431728
stress_hours_lt3_7d,0.14513135549067258
tan_mg_l,0.08547282704618504
alkalinity_mg_l,0.08114640441402471
fcr_running,0.06260911967966137
water_temp_c,0.05241655852295209
night_do_min_3d_trend,0.04880111708186413
solar_rad_24h,0.033134797855445736
stress_hours_lt3_24h,0.024982546471694397
biomass_est_kg,0.022805786184819453
do_mg_l,0.02094413672635358
feed_kg_7d_cum,0.019228742974377076
alkalinity_trend_7d,0.019114096392615992
do_amplitude,0.014705837333174938
salinity_ppt,0.008961952455981222
tan_slope_3d,0.007601311495246232
nh3_un_ionised,0.006389683267466195
aerator_on,0.003738736446276875
ph,0.0030436256854829372
management_quality,0.0015999634735276126
data_health_score,6.56264768222691e-05
rain_48h_mm,4.790574433964202e-06
